,Growth,Hour,Day
0,0.372027972027972,00,Sunday
1,0.34545454545454546,01,Sunday
2,0.7454545454545455,02,Sunday
3,0.8867924528301887,03,Sunday
4,0.0,04,Sunday
5,0.0,05,Sunday
6,0.0,06,Sunday
7,0.0,07,Sunday
8,0.0,08,Sunday
9,0.0,09,Sunday
10,0.0,10,Sunday
11,0.0,11,Sunday
12,0.0,12,Sunday
13,0.7142857142857143,13,Sunday
14,0.6,14,Sunday
15,0.4909090909090909,15,Sunday
16,0.28181818181818186,16,Sunday
17,0.32727272727272727,17,Sunday
18,0.34545454545454546,18,Sunday
19,0.20884615384615385,19,Sunday
20,0.6857142857142857,20,Sunday
21,0.5909090909090908,21,Sunday
22,0.9136363636363636,22,Sunday
23,0.575,23,Sunday
0,0.46578947368421053,00,Monday
1,0.5597402597402598,01,Monday
2,1.0666666666666667,02,Monday
3,0.0,03,Monday
4,0.0,04,Monday
5,0.0,05,Monday
6,0.0,06,Monday
7,0.0,07,Monday
8,0.0,08,Monday
9,0.0,09,Monday
10,0.0,10,Monday
11,1.5416666666666667,11,Monday
12,0.8712765957446809,12,Monday
13,0.0,13,Monday
14,0.6691595441595442,14,Monday
15,0.38285714285714284,15,Monday
16,0.5449760765550239,16,Monday
17,0.2963636363636364,17,Monday
18,0.13333333333333333,18,Monday
19,0.0,19,Monday
20,0.23333333333333334,20,Monday
21,0.2909090909090909,21,Monday
22,0.4309090909090909,22,Monday
23,0.5001594896331738,23,Monday
0,0.5,00,Tuesday
1,0.95,01,Tuesday
2,0.0,02,Tuesday
3,0.0,03,Tuesday
4,0.0,04,Tuesday
5,0.0,05,Tuesday
6,0.0,06,Tuesday
7,0.0,07,Tuesday
8,0.0,08,Tuesday
9,0.9375,09,Tuesday
10,0.0,10,Tuesday
11,0.0,11,Tuesday
12,1.0227272727272727,12,Tuesday
13,0.7818181818181819,13,Tuesday
14,0.5813036020583191,14,Tuesday
15,0.9612648221343874,15,Tuesday
16,0.26,16,Tuesday
17,0.2,17,Tuesday
18,0.14285714285714285,18,Tuesday
19,0.0,19,Tuesday
20,0.0,20,Tuesday
21,0.36421052631578943,21,Tuesday
22,0.7636363636363637,22,Tuesday
23,0.5614035087719298,23,Tuesday
0,0.4727272727272727,00,Wednesday
1,0.5272727272727272,01,Wednesday
2,0.3,02,Wednesday
3,0.0,03,Wednesday
4,0.0,04,Wednesday
5,0.0,05,Wednesday
6,0.0,06,Wednesday
7,0.0,07,Wednesday
8,0.7,08,Wednesday
9,0.6,09,Wednesday
10,0.9055555555555556,10,Wednesday
11,1.32,11,Wednesday
12,0.0,12,Wednesday
13,0.9163636363636363,13,Wednesday
14,0.49242424242424243,14,Wednesday
15,0.31698113207547174,15,Wednesday
16,0.1620754716981132,16,Wednesday
17,0.2489655172413793,17,Wednesday
18,0.0,18,Wednesday
19,0.23333333333333334,19,Wednesday
20,0.4074074074074074,20,Wednesday
21,0.3522727272727273,21,Wednesday
22,0.2727272727272727,22,Wednesday
23,0.23636363636363636,23,Wednesday
0,0.09090909090909091,00,Thursday
1,0.7714285714285715,01,Thursday
2,0.7777777777777778,02,Thursday
3,0.8,03,Thursday
4,0.8727272727272727,04,Thursday
5,0.8545454545454545,05,Thursday
6,0.8,06,Thursday
7,1.0909090909090908,07,Thursday
8,0.8909090909090909,08,Thursday
9,0.9090909090909091,09,Thursday
10,0.9500000000000001,10,Thursday
11,0.9846153846153847,11,Thursday
12,0.7670454545454546,12,Thursday
13,0.6390374331550802,13,Thursday
14,0.6424242424242423,14,Thursday
15,0.5727272727272728,15,Thursday
16,-0.5340608465608466,16,Thursday
17,-0.08333333333333333,17,Thursday
18,0.3,18,Thursday
19,0.0,19,Thursday
20,0.609090909090909,20,Thursday
21,0.3909090909090909,21,Thursday
22,0.22289562289562287,22,Thursday
23,0.40909090909090906,23,Thursday
0,0.6935064935064935,00,Friday
1,1.0,01,Friday
2,0.95,02,Friday
3,0.0,03,Friday
4,0.0,04,Friday
5,0.0,05,Friday
6,0.0,06,Friday
7,0.0,07,Friday
8,0.9238095238095237,08,Friday
9,2.0,09,Friday
10,1.0727272727272728,10,Friday
11,0.4,11,Friday
12,0.4,12,Friday
13,0.5,13,Friday
14,0.6181818181818182,14,Friday
15,0.4909090909090909,15,Friday
16,0.4666666666666667,16,Friday
17,0.0,17,Friday
18,0.0,18,Friday
19,0.0,19,Friday
20,0.0,20,Friday
21,0.0,21,Friday
22,0.0,22,Friday
23,0.5454545454545454,23,Friday
0,0.38181818181818183,00,Saturday
1,0.34545454545454546,01,Saturday
2,0.6363636363636364,02,Saturday
3,0.7454545454545455,03,Saturday
4,1.0,04,Saturday
5,0.6727272727272727,05,Saturday
6,0.7454545454545455,06,Saturday
7,1.1454545454545455,07,Saturday
8,1.0363636363636364,08,Saturday
9,0.9454545454545454,09,Saturday
10,0.7454545454545455,10,Saturday
11,1.1636363636363636,11,Saturday
12,0.7090909090909091,12,Saturday
13,0.6909090909090909,13,Saturday
14,0.43636363636363634,14,Saturday
15,0.6575757575757575,15,Saturday
16,0.32727272727272727,16,Saturday
17,0.3090909090909091,17,Saturday
18,0.24545454545454543,18,Saturday
19,0.40909090909090906,19,Saturday
20,0.3818181818181818,20,Saturday
21,0.4636363636363636,21,Saturday
22,0.3181818181818182,22,Saturday
23,0.6090909090909091,23,Saturday
